name,surname,username,password,email
John,Doe,johndoe,pass123,johndoe@example.com
Ezio,Greggio,enzogreggio,pass123,enzogreggio@example.com
Laci,Polla,lacip,pass123,lacip@example.com
Alice,Pizza,alicep,pass123,alicep@example.com
Charlie,Brown,charlieb,pass123,charlieb@example.com
Diana,Princess,dianap,pass123,dianap@example.com
Bruce,Wayne,brucew,pass123,brucew@example.com
Clark,Kent,clarkk,pass123,clarkk@example.com
Lois,Lane,loisl,pass123,loisl@example.com
Peter,Parker,peterp,pass123,peterp@example.com
Gino,Esposito,expositius,pass123,natashar@example.com
